,serial_with_season,movie,serial_without_season
8454,0,456,0
8455,3685,0,0
8457,0,1605,0
8458,0,22409,0
8464,0,4120,0
8465,0,57339,0
8493,0,3429,0
8494,0,5992,0
8495,0,6515,0
8498,0,9,0
8499,0,144,0
8500,0,3465,0
8501,20243,16039,0
8557,0,4141,0
8568,0,18529,0
8573,0,7420,0
8577,0,3910,0
8578,0,6249,0
8581,33,322,0
8584,0,795,0
8586,23035,0,0
8595,793,1,0
8597,0,15,0
8598,72466,0,0
8623,897,3,0
8625,0,2672,0
8626,0,10773,0
8629,0,9802,0
8634,0,7807,0
8638,118,8622,0
8641,0,1503,0
8642,0,7948,0
8645,0,34782,0
8653,0,21810,0
8660,0,15528,0
8664,0,388,0
8665,25081,21989,0
8688,0,7399,0
8694,0,5263,0
8696,0,150,0
8697,16564,104648,0
8794,0,180,0
8795,0,15,0
8796,2717,0,0
8797,0,1294,0
8798,0,13377,0
8802,0,1135,0
8803,0,15951,0
8806,0,6589,0
8813,0,5348,0
8814,0,1856,0
8815,7373,37406,0
8830,294,0,0
8831,0,9095,0
8834,0,223,0
8836,0,509,0
8837,0,9,0
8838,0,2061,0
8839,0,4694,0
8840,0,91,0
8841,1138,0,0
8845,0,1753,0
8846,0,16042,0
8849,92,0,0
8851,8615,0,0
8854,0,4731,0
8855,96,7435,0
8861,0,5094,0
8862,0,14399,0
8865,79,10614,0
8871,359,0,0
8872,0,17848,0
8877,0,1629,0
8879,0,22542,0
8888,0,19213,0
8892,54180,3215,0
8911,0,816,0
8912,0,724,0
8913,0,34933,0
8923,0,21838,0
8933,0,97,0
8934,0,4542,0
8935,0,5876,0
8937,6418,350,0
8951,0,88,0
8953,0,5385,0
8954,0,5547,0
8955,0,2938,0
8958,0,3966,0
8960,0,6398,0
8962,1478,8430,0
8968,0,6574,0
8969,0,11,0
8970,0,9204,0
8975,0,2278,0
8978,0,155,0
8980,0,17770,0
8984,0,5,0
8985,0,99369,0
9010,0,127,0
9012,0,1174,0
9014,0,889,0
9015,0,12823,0
9017,0,94,0
9018,0,547,0
9020,27827,11085,5462
9033,0,11023,0
9037,90,0,0
9038,0,25542,0
9044,0,1453,0
9047,0,6897,0
9050,0,5558,0
9051,0,9889,0
9054,0,4687,0
9056,8932,12117,0
9085,0,12253,0
9093,0,356,0
9094,0,3273,0
9095,0,2958,0
9097,0,13335,0
9101,0,1962,0
9102,0,10,0
9103,0,48596,0
9123,0,296,0
9125,0,7472,0
9127,0,390,0
9128,0,3350,0
9129,0,28530,0
9137,0,4745,0
9139,0,20289,0
9147,0,9049,0
9153,0,43493,0
9165,0,4,0
9166,28,1075,0
9169,0,1433,0
9170,0,4691,0
9171,782,2912,0
9174,0,16346,0
9177,0,2309,0
9178,0,430,0
9179,0,1275,0
9184,0,5839,0
9185,35,13596,0
9192,0,12400,0
9194,0,13525,0
9197,0,328,0
9198,25,203,0
9201,0,19376,0
9205,0,42943,0
9216,0,15,0
9217,0,13965,0
9221,0,18,0
9222,0,13,0
9223,1153,10795,0
9227,0,3940,0
9228,0,15,0
9229,0,460,0
9230,0,20671,0
9237,0,51879,0
9259,0,30363,0
9269,0,25093,0
9285,0,10064,0
9288,0,23254,0
9294,0,39773,0
9307,0,3395,0
9308,0,41351,0
9324,0,12982,0
9327,0,1307,0
9328,0,3215,0
9332,0,10953,0
9341,6595,543480,0
9541,0,21838,0
9545,0,5173,0
9546,0,10993,0
9550,0,5086,0
9551,0,131,0
9552,31807,7189,0
9637,46294,10760,0
9656,11213,11484,0
9695,0,4334,0
9696,3,2949,0
9699,138296,0,0
9801,6562,3667,0
9819,0,12820,0
9822,0,2806,0
9825,23,126205,0
9866,0,7716,0
9868,0,9915,0
9874,0,178473,0
9925,0,733,0
9928,0,12446,0
9935,23526,108,0
9944,0,4728,0
9945,0,53,0
9946,0,4737,0
9948,0,1541,0
9950,0,53819,0
9975,0,5796,0
9977,0,17356,0
9983,0,128864,0
10010,0,40572,0
10020,0,7068,0
10021,0,5256,0
10024,0,155763,0
10071,0,2946,0
10073,337,5483,0
10077,0,564193,0
10292,0,4113,0
10293,0,2501,0
10295,0,20284,0
10300,76782,6280,0
10329,0,123487,0
10373,0,80,0
10374,0,15954,0
10381,0,3507,0
10384,0,47247,0
10393,0,4740,0
10394,0,9276,0
10396,0,1191,0
10397,0,14802,0
10403,0,221,0
10404,1731,130205,0
10445,0,45674,0
10456,0,12260,0
10462,0,9511,0
10465,0,15324,0
10474,13040,57049,0
10500,0,66,0
10501,0,1326,0
10502,0,4901,0
10504,228,18,0
10506,0,371,0
10507,0,19179,0
10510,0,169,0
10514,0,38,0
10515,0,48,0
10518,0,1632,0
10520,0,688,0
10521,0,409,0
10522,0,4647,0
10523,0,6241,0
10524,0,5155,0
10525,0,10334,0
10530,0,15292,0
10534,0,20322,0
10540,0,52504,0
10551,0,12347,0
10554,0,47006,0
10563,0,5096,0
10566,0,6,0
10567,0,5313,0
10568,0,10714,0
10575,0,13922,0
10581,0,124,0
10582,0,192,0
10584,0,4682,0
10585,0,12122,0
10590,0,838,0
10592,129,642,0
10594,0,16012,0
10600,0,7167,0
10604,0,70990,0
10625,1360,0,0
10627,0,6021,0
10629,0,41,0
10631,0,2588,0
10633,0,6275,0
10634,0,25030,0
10646,0,5118,0
10649,246705,185064,0
10790,23,205,0
10792,0,7858,0
10794,0,31292,0
10818,0,34512,0
10826,0,97,0
10827,0,4778,0
10829,279,0,0
10831,0,6562,0
10833,0,1292,0
10835,0,2772,0
10837,0,1480,0
10841,0,5551,0
10842,0,94,0
10845,0,5309,0
10846,0,5,0
10847,0,12,0
10848,0,6309,0
10849,0,73231,0
10865,0,4153,0
10867,0,4684,0
10869,0,2,0
10870,0,5791,0
10875,0,31,0
10876,34883,5892,0
10900,0,35580,0
10913,0,5759,0
10914,0,704,0
10916,0,863,0
10917,0,17843,0
10923,0,41468,0
10934,0,245,0
10935,326,43449,0
10958,0,6,0
10959,0,166,0
10960,0,32023,0
10969,0,3471,0
10971,0,976,0
10973,0,4979,0
10974,0,17,0
10975,1524,21981,0
10980,7711,10330,0
10990,0,12,0
10991,0,7,0
10992,0,2,0
10993,0,12,0
10994,0,1,0
10995,0,9523,0
10999,0,5776,0
11001,0,1014,0
11002,95,0,0
11003,156,1647,0
11010,0,5479,0
11011,0,17984,0
11015,0,23759,0
11025,0,565,0
11027,0,110,0
11028,0,6129,0
11030,0,12324,0
11032,0,4190,0
11033,0,5815,0
11036,0,3220,0
11037,0,8484,0
11040,115,7,0
11042,0,4,0
11043,0,10,0
11044,0,104,0
11045,0,6076,0
11046,0,21862,0
11051,0,13939,0
11055,0,10135,0
11060,321,10121,0
11064,0,16,0
11065,18339,51990,5559
11086,0,10069,0
11088,0,902,0
11089,0,1196,0
11090,11,11076,0
11098,0,294,0
11099,0,5162,0
11100,61,0,0
11101,0,23015,0
11120,0,15735,0
11123,0,2,0
11124,0,46,0
11125,0,66194,0
11140,0,6807,0
